COUNTRY,CIUDAD,OPS_ZONE,OPS_ZONE_ID,TOTAL_USERS,PRIME_USERS,FOOD_CATEGORY,ORDERS_LAST_4WEEK,GMV_LAST_4WEEK,AVG_TICKET,PEAK_DAY,PEAK_DAY_ORDERS,AVG_CONNECTIVITY_HRS,AVG_GMV_STORE,AVG_ORD_STORE,AVAILABLE_RTS,CANCELLATION_RATE
CO,Cartagena,Manga,318,17501,8014,Experiencias Foodies,5,53.93,10.786,Mon,2,33.214328000000,53.93,5.000000,100,0.000000
CO,Medellín,Alto_de_las_palmas,19,1480,859,Perros Calientes,18,286.62,15.923333333,Tue,5,45.437710500000,286.62,18.000000,100,0.111111
CO,Medellín,La Fe,394,1,1,Mexicana,1,0.03,0.03,Wed,1,1.657240000000,0.03,1.000000,100,0.000000
CO,Ibagué,El Salado,277,407,174,Postres,2,2.21,1.105,Fri,2,0.049062500000,2.21,2.000000,100,0.500000
CO,Barranquilla,Soledad,70,5133,1658,Empanadas,3,5.68,1.893333333,Fri,1,2.636235125000,2.84,1.500000,100,0.666667
CO,Bucaramanga,Norte,88,6685,3445,Árabe,242,2935.59,12.13053719,Tue,51,43.469739750000,2935.59,242.000000,100,0.008264
CO,Ibagué,Centro Ricaurte,50,7394,2430,Árabe,27,470.51,17.426296296,Sun,7,49.450456250000,235.255,13.500000,100,0.000000
CO,Santa Marta,Zazue,259,2214,1196,Perros Calientes,136,2806.35,20.634926471,Sat,32,71.250000000000,2806.35,136.000000,100,0.014706
CO,Bogotá,Arrayanes,269,1665,796,Sánduches,7,78.42,11.202857143,Tue,3,,78.42,7.000000,100,0.000000
CO,Ibagué,Centro Ricaurte,50,7394,2430,Perros Calientes,18,111.26,6.181111111,Tue,6,3.037778333333,111.26,18.000000,100,0.055556
CO,Bogotá,Usme,296,746,183,Árabe,5,19.38,3.876,Wed,5,25.657320000000,19.38,5.000000,100,0.000000
CO,Medellín,Alto_de_las_palmas,19,1480,859,Helados,207,3608.42,17.431980676,Sun,48,67.250000000000,3608.42,207.000000,100,0.043478
CO,Sogamoso,Sogamoso Sur,272,1005,263,Perros Calientes,7,65.64,9.377142857,Sat,2,71.255184000000,65.64,7.000000,100,0.000000
CO,Cartagena,Horizonte Campanos,338,1605,723,Pollo,1380,19225.72,13.931681159,Sun,360,66.834180000000,19225.72,1380.000000,100,0.039855
CO,Girardot,Girardot,196,2396,757,Asiática,31,719.64,23.214193548,Fri,6,29.636323500000,719.64,31.000000,100,0.032258
CO,Pasto,Pasto Villas del norte,114,7405,1863,China,60,439.26,7.321,Sun,24,18.690273000000,439.26,60.000000,100,0.216667
CO,Buga,Buga,123,1177,304,Árabe,4,48.55,12.1375,Sun,2,36.177705000000,48.55,4.000000,100,0.000000
CO,Ibagué,N/A,0,1544,657,Perros Calientes,221,2093.64,9.473484163,Wed,47,53.498758130349,2093.64,221.000000,100,0.022624
CO,Valledupar,El viajero,128,7185,3198,Arepas,7,40.81,5.83,Tue,4,28.325985500000,40.81,7.000000,100,0.142857
