COUNTRY,STORE_OP_ZONE_ID,BRAND_CATEGORY,DIA_SEMANA,ORDENES_TOTALES_DIA_AVG,GMV_DIA_AVG
MX,972,Comida Rápida,Mon,54.000000,821.8175
EC,218,Postres,Thu,0.500000,3.1
CL,5,Sushi,Tue,17.500000,322.2425
MX,566,Desayunos y Brunch,Tue,5.000000,116.98
MX,1003,Mexicana,Wed,368.000000,6339.22
PE,1,Café,Sun,315.750000,4033.725
CL,209,Pastelería y Postres,Wed,2.500000,23.1675
EC,192,Hamburguesa,Mon,7.500000,127.605
CO,7,Postres,Mon,1029.250000,13987.6325
PE,41,Pollería,Wed,8.750000,116.715
MX,1075,Asiática,Sat,124.500000,2519.485
MX,563,Mexicana,Sat,20.750000,215.3175
CL,209,Pastelería y Postres,Sat,3.500000,56.045
CL,18,Sushi,Sat,180.250000,4427.82
CR,10,Pizza,Tue,1.000000,4.4075
AR,19,Postres,Fri,286.000000,2572.8125
AR,11,Pizza,Mon,319.250000,7498.2275
CO,23,Hamburguesa,Sun,636.750000,10211.8275
CO,199,Café,Sun,19.000000,178.7775
CO,199,Café,Sat,17.750000,177.88
CO,208,Crepes,Sat,69.000000,876.0825
MX,563,Mexicana,Fri,20.000000,199.7675
CO,29,Arepas,Mon,25.750000,383.5675
CO,31,Sushi,Tue,36.500000,909.64
MX,1007,Pollo,Fri,481.250000,8639.2925
MX,1336,Mexicana,Sat,21.000000,330.53
MX,1003,Barbacoa y Birria,Wed,8.000000,178.065
PE,9,Panadería,Tue,68.500000,1021.155
AR,15,Café,Fri,39.750000,485.23
AR,19,Postres,Sat,339.000000,3159.6875
PE,1,Pollo crujiente,Thu,1065.500000,18930.3775
MX,1067,Pescados y Mariscos,Mon,38.750000,1220.67
CO,6,Helados,Tue,53.000000,484.125
MX,887,Hamburguesas,Fri,72.750000,1307.6125
CO,56,Perros Calientes,Tue,50.000000,550.545
MX,765,Carnes y BBQ,Mon,3.250000,60.0575
CO,4,Árabe,Mon,341.750000,6754.3775
CO,9,Postres,Mon,209.000000,2555.515
CO,9,Postres,Sun,294.750000,3875.43
MX,1037,Hamburguesas,Thu,353.250000,4851.025
CO,21,Hamburguesa,Wed,125.500000,1710.14
CO,4,Típica,Sun,1118.000000,19632.4325
AR,169,Pokes,Tue,22.500000,406.56
MX,989,Mexicana,Sat,183.750000,3604.7575
MX,1312,Antojitos y Garnachas,Thu,1.500000,2.78
MX,985,Panadería y Pastelería,Sun,41.000000,791
MX,0,Mexicana,Wed,149.250000,2152.5425
CL,17,Pastelería y Postres,Thu,19.000000,265.565
MX,1248,Pizza,Wed,2.500000,52.27
CO,0,Pollo,Fri,4.000000,28.4325
MX,954,Mexicana,Tue,28.000000,305.9375
PE,105,Postres,Tue,515.500000,6434.6675
AR,596,Panadería,Wed,212.000000,2375.33
AR,389,Argentina,Mon,3.750000,32.2175
CO,9,Mexicana,Sat,176.750000,3322.06
